,Unnamed: 0,COUNTYID,state,city,UID,longitude,lng,num_population,male_num,female_num,rent_median,mortgage,debt,married,separated,divorced,age,edu_degree
0,25827,81,New York,Elmhurst,269390,40.7311285,-73.8833525,4980,2575,2405,1498.0,2446.0,0.48038,0.5612199999999999,0.0102,0.061729999999999986,37.47423,0.74821
1,7304,3,Delaware,Wilmington,234249,39.7527058,-75.52900720000002,3076,1494,1582,1076.0,1131.0,0.8287899999999999,0.27226,0.01642,0.09594,33.74497,0.8347399999999999
2,15008,29,Louisiana,Vidalia,248842,31.5728413,-91.4354922,4474,2040,2434,543.0,925.0,0.37132,0.57276,0.03358,0.048510000000000005,36.56166,0.82226
3,38696,3,West Virginia,Martinsburg,293731,39.4514335,-77.9787645,5909,2794,3115,766.0,1177.0,0.65087,0.44439,0.06826,0.10883,34.50951,0.79494
4,21220,93,North Carolina,Raeford,260525,35.0376466,-79.35342109999998,5348,3141,2207,802.0,1041.0,0.61479,0.49577,0.07038,0.12846,37.47714000000001,0.81386
5,9291,103,Florida,Clearwater,237950,27.9593703,-82.7816274,6495,3546,2949,731.0,1324.0,0.54525,0.36515,0.02133,0.1128,36.32421,0.83201
6,1251,13,Arizona,Glendale,222660,33.5130874,-112.1947392,4483,2378,2105,892.0,1097.0,0.59502,0.35867,0.02421,0.14358,31.23791,0.64658
7,34456,201,Texas,Houston,285710,29.708030600000004,-95.6285011,7970,3546,4424,791.0,1532.0,0.68981,0.5384,0.03619,0.03323,32.22119,0.63544
8,27928,151,Ohio,Massillon,273433,40.7720697,-81.49772540000002,3734,1792,1942,583.0,1315.0,0.76244,0.52579,0.0,0.13897,38.78687,0.8979600000000001
9,37814,63,Washington,Spokane,292071,47.6180431,-117.4222261,2063,933,1130,715.0,1716.0,0.48941,0.5785,0.00725,0.14976,48.88515,0.97423
10,7769,21,Florida,Naples,235137,26.2687685,-81.78475300000002,4027,2049,1978,1537.0,2045.0,0.52605,0.6347,0.00996,0.16509,57.42614,0.94308
11,18049,125,Michigan,New Hudson,254578,42.49791670000001,-83.5875295,2468,1231,1237,1140.0,1698.0,0.8205100000000001,0.7086600000000001,0.0,0.08999,36.52981,0.9559
12,782,27,Arkansas,Magnolia,221801,33.2854639,-93.2429876,7106,3162,3944,672.0,973.0,0.63179,0.43779,0.005379999999999999,0.04839,31.8839,0.8897299999999999
13,23816,3,Nevada,North Las Vegas,265552,36.2041354,-115.10248500000002,4643,2389,2254,866.0,966.0,0.54202,0.44431,0.01461,0.08703999999999999,29.98466,0.40135
14,16399,5,Maryland,Lutherville,251475,39.4272664,-76.6106195,2101,1068,1033,1774.0,2159.0,0.61538,0.6119,0.0131,0.03095,41.43774000000001,0.94177
15,7695,11,Florida,Pembroke Pines,235003,25.999695000000006,-80.2558028,3603,1706,1897,854.0,1787.0,0.8487399999999999,0.46107,0.03817,0.09313,36.87789,0.91738
16,7218,1,District of Columbia,Washington,234107,38.910779,-77.0389515,4999,2457,2542,1723.0,2173.0,0.84477,0.24421,0.01726,0.05979,39.75104,0.9933
17,9274,103,Florida,Largo,237912,27.9215216,-82.8118187,3283,1478,1805,986.0,1273.0,0.49831,0.56045,0.0194,0.17239000000000002,49.41036,0.9299
18,3683,37,California,Los Angeles,227404,33.9421429,-118.4173296,0,0,0,,,,,,,,
19,24169,5,New York,Bronx,266220,40.8825609,-73.8972673,6809,3488,3321,1263.0,1977.0,0.43163,0.42548,0.014769999999999997,0.05769,38.82862,0.7871100000000001
20,30738,125,Pennsylvania,Monessen,278676,40.1424281,-79.9041835,2559,1229,1330,587.0,754.0,0.48764,0.5040899999999999,0.03392,0.08889,33.56689,0.85183
21,4566,67,California,Sacramento,229108,38.5505795,-121.3548712,3586,1783,1803,1272.0,1468.0,0.78232,0.5251899999999999,0.054810000000000005,0.12519,37.64259000000001,0.90163
22,12572,97,Illinois,Barrington,244225,42.2206895,-88.1371862,4080,1801,2279,1656.0,2610.0,0.57357,0.7591899999999999,0.00507,0.09189,52.94085,0.97638
23,28479,117,Oklahoma,Jennings,274493,36.2300384,-96.5566004,3126,1580,1546,736.0,960.0,0.44209,0.65512,0.03053,0.12211,40.85478,0.8523
24,26261,103,New York,Central Islip,270249,40.7983763,-73.19487729999999,7430,3737,3693,1625.0,2195.0,0.78275,0.47252,0.02213,0.07744,33.91345,0.73732
25,38474,101,Wisconsin,Racine,293325,42.7269184,-87.830175,6153,2879,3274,814.0,1311.0,0.66309,0.58745,0.0,0.13798,38.35139,0.90669
26,17760,93,Michigan,Pinckney,254032,42.494755700000006,-83.977355,1971,968,1003,1362.0,1485.0,0.7625,0.59259,0.0,0.08765,42.97134000000001,0.94044
27,6983,5,Connecticut,Lakeville,233643,41.986226,-73.4252735,3685,1725,1960,1064.0,1907.0,0.56728,0.6297699999999999,0.0233,0.08803,48.26336,0.96452
28,23945,21,Nevada,Hawthorne,265787,38.516647,-118.4162794,1415,641,774,470.0,730.0,0.3679,0.38432,0.05354,0.22753,40.66736,0.8692200000000001
29,34593,201,Texas,Klein,285954,30.0791469,-95.5386466,8937,4462,4475,1375.0,1486.0,0.86872,0.65595,0.0,0.03444,30.58958,0.85111
30,15678,9,Massachusetts,Ipswich,250098,42.6714559,-70.8007257,4290,2024,2266,1037.0,2362.0,0.66079,0.57176,0.01743,0.10285,43.85459,0.96872
